City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,278.94,95,100,9.7,TF,1683655508
1,as sars,36.0764,9.0212,289.94,82,95,5.27,TN,1683655508
2,margaret river,-33.95,115.0667,291.78,74,12,10.99,AU,1683655509
3,papatowai,-46.5619,169.4708,281.05,91,100,1.78,NZ,1683655509
4,anadyr,64.75,177.4833,266.43,93,100,3.0,RU,1683655509
5,bakanas,44.8081,76.2772,293.86,21,0,4.07,KZ,1683655510
6,waitangi,-43.9535,-176.5597,289.16,95,100,6.26,NZ,1683655510
7,westport,41.1415,-73.3579,295.12,35,0,4.12,US,1683655510
8,nova sintra,14.8667,-24.7167,294.06,79,1,7.27,CV,1683655511
9,hermanus,-34.4187,19.2345,289.51,76,78,1.74,ZA,1683655511
10,longyearbyen,78.2186,15.6401,272.06,74,75,2.57,SJ,1683655511
11,punta arenas,-53.15,-70.9167,280.21,57,40,6.69,CL,1683655512
12,albany,42.6001,-73.9662,291.18,31,97,1.34,US,1683655219
13,kodiak,57.79,-152.4072,278.88,93,100,4.63,US,1683655512
14,tobruk,32.0836,23.9764,293.31,63,71,9.22,LY,1683655512
15,vikhorevka,56.1201,101.1636,285.92,66,31,1.84,RU,1683655513
16,adamstown,-25.066,-130.1015,295.18,52,87,6.27,PN,1683655513
17,mar del plata,-38.0023,-57.5575,292.56,51,84,5.14,AR,1683655317
18,arraial do cabo,-22.9661,-42.0278,301.13,74,0,6.69,BR,1683655360
19,oranjemund,-28.55,16.4333,291.01,52,1,3.35,NA,1683655514
20,cuito,-12.3833,16.9333,288.41,50,4,0.76,AO,1683655514
21,chonchi,-42.6128,-73.8092,289.88,85,85,0.87,CL,1683655389
22,aykhal,66.0,111.5,267.18,85,77,8.13,RU,1683655515
23,college,64.8569,-147.8028,282.33,48,75,0.89,US,1683655515
24,sitka,57.0531,-135.33,282.09,71,20,2.06,US,1683655516
25,awjilah,29.1081,21.2869,302.58,14,27,6.35,LY,1683655516
26,seydi,39.4816,62.9137,300.25,15,3,4.79,TM,1683655516
27,blackmans bay,-43.0167,147.3167,283.56,81,87,5.11,AU,1683655517
28,grytviken,-54.2811,-36.5092,274.04,90,100,2.18,GS,1683655517
29,lensk,60.7253,114.9278,282.61,84,36,3.78,RU,1683655517
30,san german,18.0816,-67.0449,305.44,70,69,5.19,PR,1683655518
31,touros,-5.1989,-35.4608,302.14,70,68,6.5,BR,1683655519
32,ushuaia,-54.8,-68.3,279.94,56,20,6.17,AR,1683655520
33,pundong,-7.9522,110.3486,298.68,92,100,2.46,ID,1683655521
34,edinburgh of the seven seas,-37.0676,-12.3116,287.48,71,68,10.04,SH,1683655521
35,hailar,49.2,119.7,280.91,34,50,2.67,CN,1683655522
36,west island,-12.1568,96.8225,300.57,83,21,8.45,CC,1683655522
37,hawaiian paradise park,19.5933,-154.9731,295.88,95,100,2.06,US,1683655458
38,iqaluit,63.7506,-68.5145,272.0,58,20,2.57,CA,1683655523
39,kapoeta,4.7717,33.5903,299.45,58,61,2.41,SS,1683655524
40,bilibino,68.0546,166.4372,267.04,94,100,1.13,RU,1683655296
41,bredasdorp,-34.5322,20.0403,287.6,92,66,1.78,ZA,1683655524
42,zhicheng,30.2956,111.5047,288.8,89,98,1.26,CN,1683655524
43,nar'yan-mar,67.6713,53.087,272.82,83,99,5.61,RU,1683655525
44,lebu,-37.6167,-73.65,288.38,61,72,6.84,CL,1683655525
45,ishigaki,24.3448,124.1572,292.22,77,20,2.57,JP,1683655526
46,bima,-8.4667,118.7167,298.08,96,100,1.75,ID,1683655531
47,egilsstadir,65.2653,-14.3948,282.1,87,100,4.12,IS,1683655531
48,taguatinga,-12.3857,-46.5711,307.7,28,51,2.68,BR,1683655250
49,fengkou,30.0833,113.2667,289.92,79,97,6.01,CN,1683655532
50,uliastay,47.7417,96.8444,274.57,88,97,1.31,MN,1683655532
51,reggane,26.7158,0.1714,307.8,9,100,5.15,DZ,1683655532
52,ulan-ude,51.8261,107.6098,284.09,37,100,1.0,RU,1683655239
53,tralee,52.2704,-9.7026,284.58,93,67,6.13,IE,1683655533
54,tafi viejo,-26.732,-65.2592,297.06,50,20,2.06,AR,1683655533
55,utrik,11.2278,169.8474,300.23,82,99,6.16,MH,1683655534
56,kapa'a,22.0752,-159.319,298.14,85,100,7.2,US,1683655534
57,santa maria da vitoria,-13.3947,-44.1886,307.45,29,69,2.69,BR,1683655486
58,inarajan village,13.2736,144.7484,300.23,95,44,4.11,GU,1683655534
59,enewetak,11.3474,162.3373,300.49,81,100,7.16,MH,1683655535
60,kapuskasing,49.4169,-82.4331,289.2,31,100,3.09,CA,1683655535
61,tazovsky,67.4667,78.7,260.45,97,43,2.32,RU,1683655535
62,loa janan,-0.583,117.095,296.8,99,99,0.69,ID,1683655535
63,newman,37.3138,-121.0208,291.49,41,100,2.24,US,1683655536
64,ishim,56.1128,69.4902,277.64,42,1,0.71,RU,1683655536
65,colchani,-20.3,-66.9333,284.64,21,86,4.67,BO,1683655536
66,dudinka,69.4058,86.1778,248.33,100,19,1.37,RU,1683655536
67,nawabshah,26.2483,68.4096,301.13,47,0,3.09,PK,1683655537
68,tadine,-21.55,167.8833,295.89,73,94,5.97,NC,1683655537
69,jayapura,-2.5333,140.7,298.81,91,100,1.12,ID,1683655537
70,caraballeda,10.6112,-66.8522,308.63,50,40,2.57,VE,1683655537
71,kone,-21.0595,164.8658,293.39,86,73,2.62,NC,1683655538
72,namibe,-15.1961,12.1522,297.29,81,2,3.14,AO,1683655538
73,leh,34.1667,77.5833,272.03,62,80,3.56,IN,1683655538
74,tosontsengel,48.7567,98.2839,275.74,76,81,2.82,MN,1683655538
75,saipan,15.1355,145.701,300.54,100,75,3.6,MP,1683655539
76,nemuro,43.3236,145.575,278.79,91,81,4.37,JP,1683655539
77,colonia,50.9333,6.95,289.24,87,20,1.54,DE,1683655539
78,ribeira grande,38.5167,-28.7,290.8,100,75,5.81,PT,1683655540
79,uturoa,-16.7333,-151.4333,300.63,72,77,1.8,PF,1683655540
80,stornoway,58.2093,-6.3865,287.06,76,40,3.09,GB,1683655540
81,naama,33.2667,-0.3167,301.78,18,0,6.06,DZ,1683655541
82,wailua homesteads,22.0669,-159.378,297.39,85,100,7.2,US,1683655541
83,jamestown,42.097,-79.2353,292.88,34,0,6.69,US,1683655353
84,aasiaat,68.7098,-52.8699,271.92,81,84,1.67,GL,1683655541
85,lihue,21.9789,-159.3672,297.73,85,100,7.2,US,1683655542
86,minas de marcona,-15.2119,-75.1103,293.34,63,24,7.32,PE,1683655542
87,invercargill,-46.4,168.35,281.49,95,83,1.34,NZ,1683655355
88,kavieng,-2.5744,150.7967,300.66,80,42,1.59,PG,1683655543
89,roma,43.2128,-75.4557,290.58,32,0,2.57,US,1683655319
90,walvis bay,-22.9575,14.5053,288.68,82,0,2.57,NA,1683655544
91,tome acu,-2.4189,-48.1522,303.25,67,86,0.68,BR,1683655546
92,ibarreta,-25.2144,-59.8585,298.52,33,93,2.48,AR,1683655546
93,fish town,5.1964,-7.8756,299.35,86,92,2.32,LR,1683655546
94,petropavlovsk-kamchatsky,53.0452,158.6483,272.47,100,100,1.0,RU,1683655547
95,cheyyur,12.3495,80.003,302.65,82,100,4.05,IN,1683655547
96,bethel,41.3712,-73.414,294.61,32,20,4.63,US,1683655420
97,happy valley-goose bay,53.3168,-60.3315,278.32,38,75,11.32,CA,1683655548
98,susuman,62.7833,148.1667,272.03,91,99,1.35,RU,1683655548
99,saint-pierre,-21.3393,55.4781,297.97,73,0,3.6,RE,1683655548
100,san antonio de pale,-1.4014,5.6325,301.31,78,36,2.52,GQ,1683655548
101,waingapu,-9.6567,120.2641,298.54,85,99,5.77,ID,1683655549
102,sinabang,2.4803,96.3801,299.96,79,76,1.25,ID,1683655549
103,ancud,-41.8697,-73.8203,286.79,81,89,0.92,CL,1683655549
104,callao,-12.0667,-77.15,296.33,73,100,2.57,PE,1683655437
105,turinskaya sloboda,57.6232,64.3858,277.81,37,0,2.17,RU,1683655550
106,olonkinbyen,70.9221,-8.7187,275.47,100,100,3.72,SJ,1683655550
107,camana,-16.6228,-72.7111,295.62,73,63,4.77,PE,1683655550
108,stanley,54.868,-1.6985,288.86,80,40,4.12,GB,1683655477
109,pindwara,24.8,73.0667,303.27,13,0,0.22,IN,1683655551
110,palikir - national government center,6.9248,158.1611,297.56,100,100,0.0,FM,1683655551
111,shetpe,44.1667,52.1167,291.27,49,8,4.33,KZ,1683655551
112,haiku-pauwela,20.9219,-156.3051,297.62,70,20,7.2,US,1683655552
